dataA,dataB
68230,1970
39905,1968
6591,2935
63718,1361
39039,7336
938,5434
57017,1616
67457,8583
26511,9476
66305,7097
75463,6090
42614,3476
52630,3078
45929,5283
26082,2636
76838,3160
14128,7074
77610,1451
34913,6576
36823,1001
29216,1919
30634,9245
25191,7389
70313,6303
23680,7295
3255,4140
31028,3863
15014,6201
58649,8937
8530,7917
45632,1258
60875,6337
72215,8962
72743,3271
27314,6774
34866,1722
63410,4126
7482,3812
11046,9374
23500,2668
58330,6326
72186,4527
60881,1556
74416,4816
76385,5223
17207,3252
43083,7036
41622,1355
30783,10112
50420,9018
31331,7762
57150,1082
63846,7312
9406,4193
31931,6432
20435,10005
78577,7376
55411,5688
10350,5248
66077,1704
5834,2643
29563,5542
53146,7076
5664,10635
65885,4189
60225,9229
69201,1383
50085,7339
27230,8415
75285,6129
77793,5378
73236,3758
57304,6027
46599,5955
56231,7594
72731,6622
26904,4574
16705,9992
4726,3336
61357,3712
33142,8039
51763,10123
13621,10152
9044,10706
55046,9675
2141,1939
30432,9713
75433,2399
71447,2973
37914,10303
58543,9446
67231,4604
5100,1182
54742,5506
71788,10574
26738,10705
55536,10065
72797,7289
2099,3374
9950,7456
33258,8747
77792,7727
44934,6541
73886,10098
40884,9000
72242,9451
79409,5680
50607,8885
57651,8405
45536,7980
49354,1546
33855,1735
39914,3394
74752,6985
33253,1373
53157,8342
30051,4197
65710,6355
25506,9657
8322,6089
34761,1929
32605,8019
50183,9605
67736,2021
31415,8785
2577,5438
27421,1639
63006,7763
34427,1636
45820,3915
66025,10472
32465,5635
8910,6893
32904,2266
43436,4628
39095,4788
39882,10618
44981,9206
32233,2569
76513,4257
36737,2420
57622,9348
15250,4876
14703,4690
41134,1556
53817,1472
18048,1902
10338,4625
27601,3049
48486,6782
68899,9578
41488,3842
36554,10014
11185,4396
5064,11071
7516,7656
30811,8690
45531,7912
57495,10622
18776,5525
33099,7025
44396,6292
12735,6351
9453,2759
60558,7396
74064,9813
34343,2732
17883,3188
9178,4195
49410,10479
71421,6270
13075,1789
37618,4995
11039,6310
39007,5295
35719,5365
77829,6592
53444,2350
75035,8788
4069,4788
2500,4279
51801,3509
71994,7418
49225,3079
7157,6689
35480,3626
78222,5869
16615,10507
67015,10311
47479,5266
26174,11160
37218,6120
54511,6687
71662,6294
31227,4006
22212,2859
6801,11228
57187,5502
23838,4812
26666,10537
34748,11092
52041,6191
60441,11079
23413,4838
22894,11250
58659,1468
3988,5292
50603,6580
56508,8906
12280,9173
40813,6461
31824,1921
25414,1407
68962,2603
8105,10071
55493,3166
62257,11296
62634,4654
27539,8742
59912,10323
72893,4983
3892,4962
53300,5141
74083,10368
44398,6296
55883,4185
61350,8263
6990,6206
5789,8368
19702,8103
77000,5416
50431,4479
45736,2961
76719,1514
66145,7982
19943,2876
70631,1645
26459,1936
32185,4467
22568,9209
58837,6109
17203,9581
33013,9779
42519,6167
31982,7180
9959,8494
38196,4326
1677,7128
55167,8151
63593,1714
51170,2437
32065,1767
19709,1658
56739,2561
20511,7115
9777,6577
36130,5369
1215,4000
46810,7756
60023,2361
30342,10728
26535,8149
34916,5458
13754,8660
34587,8286
25342,8414
74664,6508
57277,8548
12747,5324
60092,9597
7902,6379
67242,10047
20437,4138
35241,11112
70792,11164
30422,6273
36865,4557
52560,4089
49815,8337
15091,11293
4330,10738
72657,9359
6213,7995
3573,10979
53023,10501
54871,3691
21633,6137
38316,4448
41670,2621
61599,2474
38301,1737
23509,8275
77474,9192
50966,2112
20814,5499
43881,2385
33331,9081
64048,10559
79581,9480
57399,9302
69162,5051
71293,10744
48157,7876
14155,4068
62164,6734
51816,3920
9610,8864
11355,9815
41128,6532
45520,5721
27226,5980
47965,5791
45871,3599
813,8843
37571,1633
64622,8960
59775,7393
23470,2626
28916,1911
71182,8515
30441,3595
63088,2138
77927,5280
51076,7629
71413,9093
37786,5619
60572,8499
2156,6658
61344,11011
27690,2808
24920,10789
23515,4541
63787,2031
30442,3494
25998,7083
59016,7237
16981,5876
11431,10760
37275,1867
33200,10867
68143,11288
79602,2648
50951,11458
63738,3333
62038,9935
64176,7883
67084,10737
73349,5773
28820,8965
34892,7452
38700,9089
77063,11005
19579,4387
9289,2815
9279,3420
24672,1915
19550,6865
42398,10350
15984,3356
50221,6306
22397,11588
49844,2563
38507,5615
2154,8385
30620,4466
57918,7460
13544,10384
30561,8754
23179,2978
36593,7005
50290,4369
15270,2664
49283,8050
30455,10573
6381,4391
15583,2729
8407,6848
53868,9870
48310,3240
4537,4189
19902,5693
32721,10701
45476,9910
37874,4796
33251,8226
38956,1689
54721,5067
45166,9799
41091,6750
65901,6780
69578,10815
35564,3040
66697,7692
4858,11133
37707,9775
54103,6857
18854,6935
44319,8501
27603,3946
19768,8248
57054,3839
43952,3001
43207,5599
71729,6583
66561,1916
58962,8334
51640,4002
63194,7100
78052,2883
47027,5571
57725,9616
33288,3256
69869,10944
75230,7845
38300,6369
8834,7486
78226,4201
44153,9752
54892,1951
25774,9261
17725,11189
52283,11071
65134,10603
36993,7186
60639,10504
63989,8676
76535,2338
78498,2089
30186,1825
4300,10929
75153,4980
6402,10309
55386,2221
39481,8864
12255,11517
45365,2405
21141,11809
57219,3775
46884,4112
22563,9304
6186,7599
18295,1978
9441,10807
29475,3149
61037,4428
1101,11777
2714,5236
29955,6877
27487,6125
38214,5423
64669,10722
19417,5547
68864,11077
1768,9552
9936,10953
15515,6152
44786,2798
10071,7858
27668,6452
43518,9187
13556,3350
56208,5990
26798,7694
18830,3768
37815,9404
73134,7409
47942,10721
17377,9411
42924,9379
22200,3033
11901,3259
47142,11517
14841,9543
39619,2240
76899,2831
41288,8489
6181,8529
29290,6219
30280,9866
15744,2799
77342,6136
76294,8734
59251,6492
31046,5365
3201,2785
71348,1942
75207,9658
44749,3722
75988,4289
60300,10599
22684,11039
11923,5771
77880,11073
65983,3220
48662,4025
70284,8606
65617,5105
11107,2868
24965,2487
39270,2598
54100,10358
76049,3849
53897,8573
60206,4357
60489,10544
62083,5858
58264,10956
3730,7181
17151,6540
55634,8920
19787,8077
16930,10772
40424,2094
49818,2655
38031,10564
40071,2952
78158,9023
22865,4648
1158,4744
11145,11379
43961,3311
27080,10199
67821,5210
45559,8792
33631,7823
73131,7284
36212,5448
63019,10983
27854,4558
57682,2338
39410,11625
21380,9317
75209,4236
79395,4595
27070,11712
55167,2816
36966,8490
58203,7047
52555,4374
73177,3048
66962,10337
13736,10467
73030,8184
78587,10441
66471,7481
25500,6753
39850,11397
64807,4505
17549,9403
58926,10491
40572,10230
52086,7057
42198,5036
64758,3437
71265,3844
65961,10850
28422,5060
33687,3629
23342,9806
67394,3947
31404,3946
42230,5759
31455,7580
65649,2498
10548,8318
66580,7256
42049,3278
66512,11123
43102,8616
16185,11962
29868,8475
3492,6902
56471,10376
58360,4604
68699,5286
20166,2152
13370,5652
563,10974
68718,10944
53657,2988
38396,9398
42051,9107
70004,7981
10170,8717
58962,10469
52477,6099
29457,7486
48108,9801
48731,7648
59226,5207
64988,11657
10733,9502
17745,5225
32754,3494
11933,6260
52850,11448
58009,8655
69541,3790
39375,6820
38489,11518
15529,3644
13962,3188
13520,6311
52482,8262
29489,12035
35430,5840
72269,8306
2670,5577
52612,4706
55415,7141
48383,2811
47606,8349
50518,4140
834,5028
68254,4945
8550,8836
74181,9004
20084,6656
12786,6505
51153,4519
39925,6080
4750,2380
18770,8237
75674,9167
25661,3736
75053,2355
42252,4837
7690,6611
37413,4014
34751,9513
6180,2335
59038,11858
28323,6905
73348,6497
10081,7970
9218,6784
71716,6533
26033,4118
29008,6555
52381,9079
72572,5445
24636,7198
29061,11605
36720,7405
31838,10043
17327,10719
22001,10411
22198,3216
63226,5190
62896,11081
72753,5545
74146,5434
58408,7622
17391,7942
8664,2408
62074,5514
29044,4457
44299,5039
3151,6269
73333,2607
2115,2340
13041,6390
25002,12245
43946,3368
75873,10663
24296,4341
33294,7925
2256,4960
68187,6221
6451,8592
63743,8149
77356,5776
11549,3548
51306,3862
28525,7288
372,7698
17505,2336
57816,5450
5570,8664
14273,11625
41513,4280
70799,8307
42958,4805
50912,5996
68,10342
17612,11302
55098,9247
44620,2529
25970,4066
4600,3239
55944,9206
24549,10470
39475,7342
40800,5521
68193,11556
46232,12071
76061,7571
17965,3539
31182,4736
49515,7846
6766,9833
17823,6935
57329,11322
13762,7428
62556,8493
63453,6302
29246,9167
47641,4871
33193,5794
35460,5518
35634,10531
57775,4104
51909,7853
63520,9360
26994,7774
23853,5868
19907,8331
77669,4693
71566,2418
76636,6418
24222,11949
56919,9289
58667,4553
58660,6957
73634,8819
41327,10118
66968,6681
27164,4043
42656,11308
22579,5418
15507,5890
23784,5136
55604,9996
26655,11202
37865,6553
23173,6123
63360,5140
73282,3358
23602,4978
35407,4917
13327,2856
36930,3141
7742,6669
52459,8354
46151,10140
78661,12063
57764,11844
14643,6092
34520,10725
696,11876
53706,10124
17510,10287
50139,5131
1766,8642
30012,11207
76351,11559
20146,6363
14673,5489
29817,9553
65884,11624
26398,4857
72527,3041
10025,10705
294,12447
35257,8188
59599,4852
722,2510
50482,10914
17894,12144
35921,5070
2063,9764
49849,2580
42737,12137
69394,3995
5139,4847
20008,9839
26966,9965
14667,4243
36501,9833
13329,4590
64326,10025
50227,3861
71730,12429
9389,2701
48180,6401
22978,7531
74360,8156
11014,6661
38524,6918
68026,5256
12200,5826
29049,9312
48350,12183
57172,4060
50666,9288
6653,7900
18869,2791
9584,5673
6956,2688
53085,8809
677,4615
57064,9970
44673,8908
64732,4268
60270,7826
35980,11263
68581,7963
75643,5292
71186,9363
76354,5301
11513,7389
17898,6885
35204,3006
71350,3658
1386,3424
14700,3242
15476,5027
15297,9066
48836,7385
15930,9421
8784,8148
75997,10676
49403,6200
50408,7795
29051,8550
13703,9295
9851,9504
31860,5151
48461,12426
40541,6001
28500,11415
1601,4492
52295,3425
65719,4131
72723,6216
28821,5055
70272,9192
50125,7974
27377,4142
24167,5995
4982,7064
5264,5319
10503,6668
19789,7505
14358,6413
52320,7525
52871,8177
42300,5215
63636,4014
17950,2981
3471,12055
16327,9580
1082,7432
33549,5674
18799,11146
42700,9751
22102,8736
50046,8061
18107,12314
49917,8571
7474,11472
22488,11132
67082,6818
61223,8647
343,9008
34037,6780
14735,11094
42461,5593
21374,12146
50622,8980
34675,8976
28597,6599
48291,11687
15376,9381
44499,7838
5621,11829
4444,4282
32784,9743
73447,4421
15674,5672
7197,10100
9395,3850
12167,8975
58205,11253
45578,3248
43412,7491
39365,8371
69937,9348
2849,9268
3440,8038
34943,11627
4695,4449
11960,2881
18799,5802
48209,6803
33394,9242
53520,6283
54000,11596
44891,8535
66097,5774
61477,7921
47503,4851
2152,6066
34221,6948
76111,7923
57364,11241
77208,6113
47837,9540
66550,8317
28394,7864
35919,8891
25971,12095
42925,5393
35203,5192
43480,7019
29412,5954
7260,6347
69013,12700
12340,8966
22591,9279
45018,4397
44581,7895
75523,11024
19121,4580
44268,7348
77688,5125
71796,7462
52885,10918
40996,4005
36472,3282
47723,10328
51516,9210
78878,11761
22807,10015
23773,3427
31648,6952
35038,8520
40733,3151
61053,3747
47684,10445
43245,8273
19056,6248
15568,6141
23523,10918
47588,8690
55373,10410
24789,10470
42882,8634
28880,10351
34905,3028
44247,5153
6621,11992
59978,8165
57993,3420
58540,10156
9331,9097
18202,12125
74342,4845
40112,3591
21675,3355
26600,11696
59529,7493
20045,6137
15218,10678
39413,4722
18850,3128
24329,4840
4150,6803
17001,3489
43335,12154
71186,4458
21254,8969
61366,5604
36390,7801
74189,3434
12986,7842
71049,5407
6963,7451
46952,3670
5320,2953
77032,7671
67557,12365
34136,8482
42108,9373
59951,9320
30437,5821
12547,5646
69640,8621
37212,4191
43190,12762
69008,5498
62209,3058
79002,7421
39850,5151
45426,7251
61522,5654
44876,5434
12368,9245
65955,9610
79767,6071
59167,4894
19579,11213
42877,8538
18408,3992
41848,12504
45637,5466
64566,5328
12631,11406
61890,10054
71624,12485
73287,7847
64500,4861
43494,11988
15244,3467
56135,11369
19509,8437
155,12763
48605,10490
31585,10532
49583,4077
67819,6722
1919,3144
23482,10597
34905,7602
10579,5401
59952,4952
73951,10360
78506,4299
40136,7661
12023,7081
30374,7470
74948,6008
8311,11743
13455,9455
49196,7094
68386,7691
34011,12011
47613,9506
21051,6184
5609,9152
23093,9078
63188,11111
24845,7439
66590,4489
76035,7997
4860,5874
77951,9987
50594,7818
53727,9777
27775,7576
22402,5302
76977,3547
20509,4118
25443,12950
1520,8200
43563,12919
67872,4943
16156,5597
687,4241
11795,5977
5658,6048
58001,5081
16875,8997
48145,11162
62892,11556
29188,3107
67732,12214
6412,6921
54571,5967
25152,5404
77921,3074
70397,8399
2481,9862
26993,7507
2471,9878
71751,4845
12732,6716
51567,3198
11372,9648
47371,3473
68411,4110
18644,8283
66483,4003
36920,5208
45618,8206
51105,5521
59784,11442
2867,6463
58473,4428
74952,8995
32248,5751
10182,7434
42660,11034
24797,11710
46674,11906
56711,5898
16970,8121
18719,11066
7207,9763
73009,11031
57822,9758
46373,9771
56141,12713
47305,12896
76330,10556
41731,9517
29275,4666
75331,10546
6904,5985
56560,7586
15536,10936
11379,7012
75024,12780
51811,8194
25201,5471
63454,4233
52412,6957
64945,3801
28393,3936
76453,8274
14874,9683
53594,6572
13767,12592
29121,3952
68436,5160
29396,7730
9523,6731
78168,6511
77659,12019
19145,9711
6092,10758
922,4989
39174,12696
14207,10331
9503,4744
3098,10107
62045,13054
33739,6264
45779,7507
67579,5894
59481,7050
21396,11642
75464,9750
21661,13024
11772,13033
58803,12060
45375,4100
64415,6828
32311,9053
619,11223
17234,11935
78096,5565
31120,4624
38044,7707
23273,12693
57710,12960
38499,8612
6367,12596
70591,6291
31725,7442
51366,9118
79225,3860
55617,9239
54926,8619
29825,7348
22194,7140
2753,11882
53682,7208
30368,6564
70476,6196
62939,9903
22834,10412
74411,10987
49553,6445
69509,10227
2488,7157
27003,5284
77552,7451
65654,10756
24074,11101
79727,11792
49289,5807
74137,9780
54315,9532
53294,6630
19490,5591
24819,9254
27204,11999
13359,4944
44396,8651
38720,6194
10557,10810
41949,5609
31222,8530
32863,6176
62736,9718
22206,8781
22269,4813
52803,3677
39526,12094
41048,4107
57342,10307
51377,9232
8862,8172
2117,9827
46504,12530
22899,12043
21865,8176
37475,13050
79721,5866
25567,12346
56563,7906
66934,8389
53752,8844
13986,4151
5872,11728
30346,7490
59109,6456
52007,6775
29323,9125
35857,11797
30120,6011
25172,12977
38915,10450
24760,11230
55072,12187
25482,6835
22560,6680
23267,10020
78179,3515
66583,11780
63418,10784
37298,6835
79943,4017
5336,11959
41511,13309
45920,13195
55337,7000
16588,8131
16877,9234
10596,9502
61042,7109
56058,3770
49825,10869
8368,8926
20987,10897
19434,5572
5535,9393
6168,3974
73208,8973
991,5140
48943,8743
49188,11602
67622,11087
74027,5808
13630,5795
75480,9882
77616,5601
50123,5430
24699,6506
56478,5718
38048,3804
75466,10232
29391,5492
73498,4403
30333,5124
55134,11731
67230,10526
38525,8695
26786,6439
13612,12688
1346,4774
64383,6470
52496,13030
23487,12213
53428,8319
46498,10492
61549,10702
68480,10625
62478,7379
42125,6231
38634,8672
15745,12676
56068,10734
57284,6306
46821,5028
10567,13073
22040,12734
38194,7173
29414,11399
8599,12134
43222,5786
76947,11745
68826,8904
42492,7815
4526,9037
566,10561
35283,6082
59911,6096
15753,12142
37450,5396
47196,5304
45236,13433
17656,4743
41080,11207
50484,8518
42724,5929
29662,4566
62129,5732
40432,13065
67042,8450
7325,4818
44592,8238
50097,7626
59157,12051
47017,7396
62533,5506
66406,7976
72106,6624
16018,5523
77827,5865
62568,11597
27697,7798
71958,10447
21332,13340
48582,8448
52049,5963
15459,6732
65955,7357
4718,4880
41714,5355
13802,5588
52969,13016
2088,5255
43300,6788
54018,7035
34736,6582
2179,5523
62570,8047
56732,5110
37177,11385
26206,9292
62323,12722
27102,12412
64472,9704
45577,7558
2366,6239
45453,11638
57496,11959
67224,5644
49718,13589
25599,10605
28735,3666
67015,4162
38567,7468
68123,13421
77403,9022
41496,6190
28963,6560
55161,12783
56193,3825
23182,8304
38083,4761
23558,13234
26047,6301
26320,4293
69324,6654
50002,5620
52876,12549
60601,7433
19480,7107
52331,10313
11478,13104
79671,12559
26925,9097
47831,5530
60294,6484
33794,11707
57605,13538
52539,11166
44778,10064
42604,9838
54586,8126
56568,10084
75616,10350
21078,8290
62686,9850
74058,12064
10004,7169
35772,9103
77001,11188
33017,7336
20774,3748
78947,8641
43559,6905
35132,12730
48817,5609
14805,6232
36541,4669
23223,4478
53763,9985
2088,4446
33593,7457
4134,5752
71689,13317
25990,9212
72589,7588
22624,6110
19484,7223
8178,3782
70953,13573
70871,9936
10133,6266
26719,4339
58672,6310
6101,12903
57893,8916
22577,8795
33384,11247
46409,12363
11953,4171
25928,5061
19291,12323
1605,10536
16124,6316
69835,5497
23737,9535
77830,8195
6030,4346
75794,6819
17382,5284
42892,10587
29063,7521
76382,8993
17246,8951
63292,13454
56082,4467
6405,9146
54041,5805
50984,4287
35554,5521
9814,11970
23847,10461
37461,8025
68699,8897
9959,9365
52900,7165
922,10402
57862,4391
47996,10995
77037,5349
1220,4789
17745,12284
57834,3896
60196,11549
57866,11172
19232,11961
54371,13649
17405,5584
25640,12521
11014,6680
40061,13428
46582,5669
34940,10408
42299,4974
604,10812
28220,10044
7484,5623
73739,12491
11042,8381
25174,12439
27745,4188
8764,12882
39136,5429
31262,4739
1787,7951
70126,10954
24187,4415
33695,10860
23677,11496
43276,11563
5675,12358
10905,8783
16958,6339
76103,12393
6894,6471
77170,10003
21076,10492
47048,6263
3772,11725
71975,9150
55483,9071
27433,7629
43260,10942
75879,11954
41630,8722
24555,4222
25610,4467
12950,6815
62070,9184
11969,8966
73266,5368
21118,5835
8070,4305
59926,13254
59594,6682
927,4724
71960,10321
36395,7208
1671,11684
13621,4268
9177,11221
53956,10140
44605,9149
78937,10011
68878,8631
40565,11713
74663,6103
58585,11567
60000,10409
20623,10260
76157,6793
69908,11911
14826,13964
23848,10166
35978,9936
72596,5111
11542,6807
29393,10468
35923,7988
12473,12050
48102,11840
66956,9410
63411,13937
26203,8547
60682,8710
31053,13017
36302,9304
57483,11418
33234,12610
55000,7021
77565,11715
68101,6207
47653,13181
70028,6885
35675,8591
34691,4184
17738,10967
43290,7062
7926,11761
75425,7383
48576,13328
35934,10908
38971,11640
55281,9640
58602,7065
24915,7566
37051,7090
14125,9852
33421,10363
31766,11058
35932,4229
5356,4530
38022,12789
73399,4133
78290,9043
33774,13817
14894,9470
11492,4315
25201,11205
23335,8046
47171,13659
1112,5236
6978,10215
24231,12796
2359,8073
64164,4758
8166,12931
60915,11342
60415,7773
53201,6997
54150,4673
31446,13390
10108,13840
27135,8598
6548,5313
55148,6835
18740,12099
35601,8334
26137,8961
1092,4731
78509,5303
39504,9100
41640,11525
61299,10358
76609,5501
39583,6483
46896,10087
42647,10881
29412,13058
49525,7194
54870,11173
44267,12600
3117,8314
32174,7270
33136,7630
5528,8622
49606,4263
40032,12795
9565,5840
43897,7902
3853,5653
28762,12727
63226,13503
35048,5349
28205,7175
39746,11018
76760,4380
58098,11466
35762,5197
32562,9187
27105,12042
13571,12691
28907,10473
6380,5750
55822,8880
34428,11802
33795,8053
50604,4783
33936,4845
48172,13273
67319,14137
22742,11825
51816,8028
24884,8257
68008,11251
20722,11461
60221,9029
47373,11307
10355,10048
58233,10656
22899,11343
35601,11484
6349,5514
74883,6982
20631,8971
32252,4827
65960,13779
69950,9127
5102,12073
39077,4749
11002,14080
42062,6226
34082,9555
79608,6670
68320,7738
63838,14193
50805,10580
781,7897
32431,11078
60249,11175
24591,13266
30566,10964
49189,5102
45690,7045
54391,11314
58889,8446
33009,10598
13790,6078
323,5484
7360,6376
22980,8815
18046,8910
22141,9942
55433,10058
73408,11614
39868,10983
13747,10606
45592,7467
9430,5828
59026,4739
8983,7921
11601,11964
38170,6665
410,9524
75046,14328
70715,6447
61241,9408
8087,10597
72067,6385
64304,6167
56068,13806
4763,5332
40328,12806
17888,10931
36183,8048
18917,9787
11997,5041
21452,14310
43665,7881
23949,6190
4536,12703
38994,12360
16697,7115
12571,4658
3042,4427
24319,10741
42048,11303
14274,7044
35958,13859
4999,9131
27818,7431
48288,13777
41847,6738
16251,6092
50824,8943
64089,13059
54816,4528
58791,13984
17481,9291
63431,6547
75435,12137
26956,5080
31049,7508
7179,6921
8050,11636
44114,7533
39223,12332
49521,12298
72482,13813
24149,12181
4777,10456
14465,12133
58084,10155
60347,13179
40323,8752
28120,10194
9405,5878
15469,5654
79405,12838
67360,5332
47810,6726
40471,12205
13022,4698
49563,9054
16830,10229
50939,9219
4035,7690
17324,10332
8889,5128
41583,8903
49625,12449
17944,12830
26935,5899
39529,11874
58264,5317
32926,13101
68197,4968
27545,9561
69374,7310
4982,14347
9970,7309
35371,13329
33614,8386
12089,9366
8549,8409
58228,12682
50341,5105
68525,6183
19926,10231
65123,9827
17883,7042
50674,12486
19445,13907
55290,13609
2911,13405
45535,9650
12290,8337
60105,12956
46291,11839
69956,5320
61586,13718
31923,9794
22026,13653
40445,5118
71429,7164
19666,10815
77275,13709
71740,13975
43152,12218
73070,12859
71086,10160
17129,5007
64097,8019
12060,14024
4572,9856
57886,8264
68488,8542
28300,6787
2755,9925
5835,14247
23295,8439
44123,12431
74111,8547
45342,14158
62737,11501
41496,13766
44033,9273
63121,11656
50638,12187
2776,6572
47650,12429
34743,11353
66564,8163
67853,7879
47281,8265
76641,7128
4756,10492
18034,13771
16437,12894
73634,8147
8017,12066
40271,8494
29928,4946
18263,5525
4816,7945
9907,6576
71764,9208
50518,11902
21090,8777
22610,14538
24721,7907
67731,8975
77252,8728
25338,8212
18570,8537
5841,11982
3371,7378
63473,9558
70082,9029
58144,11308
30773,7869
32051,13203
70301,14404
4967,11422
75540,6462
6179,8048
45525,10275
10275,12330
63324,13545
9583,8539
29632,12196
20377,10975
61275,12391
33175,12500
41906,8213
63175,12050
75764,14438
75353,9131
75779,5658
57704,4918
52723,5370
34504,8914
74692,5596
77292,9447
6925,8826
21331,9478
73043,6773
18674,7900
2657,10729
58997,7498
45675,10903
34929,13938
55497,6032
16192,10637
54561,7042
50344,14174
28391,10365
60873,12641
50169,11826
57238,9225
26154,12847
4289,5688
31152,11871
